2026-08-02 18:34:15 | INFO | M06 | Summarize.................
2026-08-02 18:34:15 | INFO | M06 | ========================
2026-08-02 18:34:15 | INFO | M06 | SUMMARY
2026-08-02 18:34:15 | INFO | M06 | ========================
2026-08-02 18:34:15 | INFO | M06 | Dataset:  penguins
2026-08-02 18:34:15 | INFO | M06 | Target:   species
2026-08-02 18:34:15 | INFO | M06 | Features: ['bill_length_mm', 'bill_depth_mm', 'flipper_length_mm', 'body_mass_g']
2026-08-02 18:34:15 | INFO | M06 | Artifact: artifacts\model.joblib
2026-08-02 18:34:15 | INFO | M06 | ========================
2026-08-02 18:34:15 | INFO | M06 | ========================
2026-08-02 18:34:15 | INFO | M06 | Executed successfully!
2026-08-02 18:34:15 | INFO | M06 | ========================
2026-08-02 18:35:52 | INFO | M06 | === RUN START ===
2026-08-02 18:35:52 | INFO | M06 | project=M06
2026-08-02 18:35:52 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:35:52 | INFO | M06 | python=3.14.3
2026-08-02 18:35:52 | INFO | M06 | os=Windows 11
2026-08-02 18:35:52 | INFO | M06 | shell=powershell
2026-08-02 18:35:52 | INFO | M06 | cwd=notebooks
2026-08-02 18:35:52 | INFO | M06 | github_actions=False
2026-08-02 18:35:52 | INFO | M06 | === RUN START ===
2026-08-02 18:35:52 | INFO | M06 | project=M06
2026-08-02 18:35:52 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:35:52 | INFO | M06 | python=3.14.3
2026-08-02 18:35:52 | INFO | M06 | os=Windows 11
2026-08-02 18:35:52 | INFO | M06 | shell=powershell
2026-08-02 18:35:52 | INFO | M06 | cwd=notebooks
2026-08-02 18:35:52 | INFO | M06 | github_actions=False
2026-08-02 18:35:52 | INFO | M06 | Loading model from: artifacts\model.joblib
2026-08-02 18:35:52 | ERROR | M06 | Model file not found: artifacts\model.joblib
2026-08-02 18:36:34 | INFO | M06 | === RUN START ===
2026-08-02 18:36:34 | INFO | M06 | project=M06
2026-08-02 18:36:34 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:36:34 | INFO | M06 | python=3.14.3
2026-08-02 18:36:34 | INFO | M06 | os=Windows 11
2026-08-02 18:36:34 | INFO | M06 | shell=powershell
2026-08-02 18:36:34 | INFO | M06 | cwd=notebooks
2026-08-02 18:36:34 | INFO | M06 | github_actions=False
2026-08-02 18:36:34 | INFO | M06 | === RUN START ===
2026-08-02 18:36:34 | INFO | M06 | project=M06
2026-08-02 18:36:34 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:36:34 | INFO | M06 | python=3.14.3
2026-08-02 18:36:34 | INFO | M06 | os=Windows 11
2026-08-02 18:36:34 | INFO | M06 | shell=powershell
2026-08-02 18:36:34 | INFO | M06 | cwd=notebooks
2026-08-02 18:36:34 | INFO | M06 | github_actions=False
2026-08-02 18:36:34 | INFO | M06 | Loading model from: artifacts\model.joblib
2026-08-02 18:36:34 | ERROR | M06 | Model file not found: artifacts\model.joblib
2026-08-02 18:38:29 | INFO | M06 | === RUN START ===
2026-08-02 18:38:29 | INFO | M06 | project=M06
2026-08-02 18:38:29 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:38:29 | INFO | M06 | python=3.14.3
2026-08-02 18:38:29 | INFO | M06 | os=Windows 11
2026-08-02 18:38:29 | INFO | M06 | shell=powershell
2026-08-02 18:38:29 | INFO | M06 | cwd=.
2026-08-02 18:38:29 | INFO | M06 | github_actions=False
2026-08-02 18:38:29 | INFO | M06 | === RUN START ===
2026-08-02 18:38:29 | INFO | M06 | project=M06
2026-08-02 18:38:29 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:38:29 | INFO | M06 | python=3.14.3
2026-08-02 18:38:29 | INFO | M06 | os=Windows 11
2026-08-02 18:38:29 | INFO | M06 | shell=powershell
2026-08-02 18:38:29 | INFO | M06 | cwd=.
2026-08-02 18:38:29 | INFO | M06 | github_actions=False
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:29 | INFO | M06 | Training complete
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:29 | INFO | M06 | Training complete
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:29 | INFO | M06 | Training complete
2026-08-02 18:38:29 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:29 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:29 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:29 | INFO | M06 | Train instances: 273
2026-08-02 18:38:29 | INFO | M06 | Test instances:  69
2026-08-02 18:38:29 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:30 | INFO | M06 | Training complete
2026-08-02 18:38:30 | INFO | M06 | Test accuracy: 1.000
2026-08-02 18:38:30 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:30 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:30 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:30 | INFO | M06 | Train instances: 273
2026-08-02 18:38:30 | INFO | M06 | Test instances:  69
2026-08-02 18:38:30 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:30 | INFO | M06 | Training complete
2026-08-02 18:38:30 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:30 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:30 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:30 | INFO | M06 | Train instances: 273
2026-08-02 18:38:30 | INFO | M06 | Test instances:  69
2026-08-02 18:38:30 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:30 | INFO | M06 | Training complete
2026-08-02 18:38:30 | INFO | M06 | Saved model to: C:\Users\angel\AppData\Local\Temp\pytest-of-angel\pytest-0\test_save_model_creates_file0\model.joblib
2026-08-02 18:38:30 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:30 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:30 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:30 | INFO | M06 | Train instances: 273
2026-08-02 18:38:30 | INFO | M06 | Test instances:  69
2026-08-02 18:38:30 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:30 | INFO | M06 | Training complete
2026-08-02 18:38:30 | INFO | M06 | Saved model to: C:\Users\angel\AppData\Local\Temp\pytest-of-angel\pytest-0\test_save_model_reloadable0\model.joblib
2026-08-02 18:38:43 | INFO | M06 | === RUN START ===
2026-08-02 18:38:43 | INFO | M06 | project=M06
2026-08-02 18:38:43 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:38:43 | INFO | M06 | python=3.14.3
2026-08-02 18:38:43 | INFO | M06 | os=Windows 11
2026-08-02 18:38:43 | INFO | M06 | shell=powershell
2026-08-02 18:38:43 | INFO | M06 | cwd=notebooks
2026-08-02 18:38:43 | INFO | M06 | github_actions=False
2026-08-02 18:38:44 | INFO | M06 | === RUN START ===
2026-08-02 18:38:44 | INFO | M06 | project=M06
2026-08-02 18:38:44 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:38:44 | INFO | M06 | python=3.14.3
2026-08-02 18:38:44 | INFO | M06 | os=Windows 11
2026-08-02 18:38:44 | INFO | M06 | shell=powershell
2026-08-02 18:38:44 | INFO | M06 | cwd=notebooks
2026-08-02 18:38:44 | INFO | M06 | github_actions=False
2026-08-02 18:38:44 | INFO | M06 | === RUN START ===
2026-08-02 18:38:44 | INFO | M06 | project=M06
2026-08-02 18:38:44 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:38:44 | INFO | M06 | python=3.14.3
2026-08-02 18:38:44 | INFO | M06 | os=Windows 11
2026-08-02 18:38:44 | INFO | M06 | shell=powershell
2026-08-02 18:38:44 | INFO | M06 | cwd=notebooks
2026-08-02 18:38:44 | INFO | M06 | github_actions=False
2026-08-02 18:38:44 | INFO | M06 | Confirming installation:
2026-08-02 18:38:44 | INFO | M06 |   python:       3.14.3
2026-08-02 18:38:44 | INFO | M06 |   pandas:       3.0.5
2026-08-02 18:38:44 | INFO | M06 | Model artifact will be saved to: artifacts\model.joblib
2026-08-02 18:38:44 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:44 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:38:44 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:38:44 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:38:44 | INFO | M06 | Model rows: 342
2026-08-02 18:38:44 | INFO | M06 | Classes in 'species': ['Adelie', 'Chinstrap', 'Gentoo']
2026-08-02 18:38:44 | INFO | M06 | Train instances: 273
2026-08-02 18:38:44 | INFO | M06 | Test instances:  69
2026-08-02 18:38:44 | INFO | M06 | Train instances: 273
2026-08-02 18:38:44 | INFO | M06 | Test instances:  69
2026-08-02 18:38:44 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:38:44 | INFO | M06 | Training complete
2026-08-02 18:38:44 | INFO | M06 | Saved model to: artifacts\model.joblib
2026-08-02 18:38:44 | INFO | M06 | Reloaded model from: artifacts\model.joblib
2026-08-02 18:38:44 | INFO | M06 | Valid payload -> {'prediction': 'Chinstrap'}
2026-08-02 18:38:44 | INFO | M06 | Invalid payload handled cleanly -> ValueError: Missing required feature: 'bill_depth_mm'
2026-08-02 18:38:44 | INFO | M06 | ========================
2026-08-02 18:38:44 | INFO | M06 | SUMMARY
2026-08-02 18:38:44 | INFO | M06 | ========================
2026-08-02 18:38:44 | INFO | M06 | Dataset:  penguins
2026-08-02 18:38:44 | INFO | M06 | Target:   species
2026-08-02 18:38:44 | INFO | M06 | Features: ['bill_length_mm', 'bill_depth_mm', 'flipper_length_mm', 'body_mass_g']
2026-08-02 18:38:44 | INFO | M06 | Artifact: artifacts\model.joblib
2026-08-02 18:38:44 | INFO | M06 | ========================
2026-08-02 18:39:03 | INFO | M06 | === RUN START ===
2026-08-02 18:39:03 | INFO | M06 | project=M06
2026-08-02 18:39:03 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:39:03 | INFO | M06 | python=3.14.3
2026-08-02 18:39:03 | INFO | M06 | os=Windows 11
2026-08-02 18:39:03 | INFO | M06 | shell=powershell
2026-08-02 18:39:03 | INFO | M06 | cwd=notebooks
2026-08-02 18:39:03 | INFO | M06 | github_actions=False
2026-08-02 18:39:03 | INFO | M06 | === RUN START ===
2026-08-02 18:39:03 | INFO | M06 | project=M06
2026-08-02 18:39:03 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:39:03 | INFO | M06 | python=3.14.3
2026-08-02 18:39:03 | INFO | M06 | os=Windows 11
2026-08-02 18:39:03 | INFO | M06 | shell=powershell
2026-08-02 18:39:03 | INFO | M06 | cwd=notebooks
2026-08-02 18:39:03 | INFO | M06 | github_actions=False
2026-08-02 18:39:03 | INFO | M06 | === RUN START ===
2026-08-02 18:39:03 | INFO | M06 | project=M06
2026-08-02 18:39:03 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:39:03 | INFO | M06 | python=3.14.3
2026-08-02 18:39:03 | INFO | M06 | os=Windows 11
2026-08-02 18:39:03 | INFO | M06 | shell=powershell
2026-08-02 18:39:03 | INFO | M06 | cwd=notebooks
2026-08-02 18:39:03 | INFO | M06 | github_actions=False
2026-08-02 18:39:03 | INFO | M06 | Confirming installation:
2026-08-02 18:39:03 | INFO | M06 |   python:       3.14.3
2026-08-02 18:39:03 | INFO | M06 |   pandas:       3.0.5
2026-08-02 18:39:03 | INFO | M06 | Model artifact will be saved to: artifacts\model.joblib
2026-08-02 18:39:03 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:39:03 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:39:03 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:39:03 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:39:03 | INFO | M06 | Model rows: 342
2026-08-02 18:39:03 | INFO | M06 | Classes in 'species': ['Adelie', 'Chinstrap', 'Gentoo']
2026-08-02 18:39:03 | INFO | M06 | Train instances: 273
2026-08-02 18:39:03 | INFO | M06 | Test instances:  69
2026-08-02 18:39:03 | INFO | M06 | Train instances: 273
2026-08-02 18:39:03 | INFO | M06 | Test instances:  69
2026-08-02 18:39:03 | INFO | M06 | Training RandomForestClassifier on 273 instances
2026-08-02 18:39:03 | INFO | M06 | Training complete
2026-08-02 18:39:03 | INFO | M06 | Saved model to: artifacts\model.joblib
2026-08-02 18:39:03 | INFO | M06 | Reloaded model from: artifacts\model.joblib
2026-08-02 18:39:03 | INFO | M06 | Valid payload -> {'prediction': 'Chinstrap'}
2026-08-02 18:39:03 | INFO | M06 | Invalid payload handled cleanly -> ValueError: Missing required feature: 'bill_depth_mm'
2026-08-02 18:39:03 | INFO | M06 | ========================
2026-08-02 18:39:03 | INFO | M06 | SUMMARY
2026-08-02 18:39:03 | INFO | M06 | ========================
2026-08-02 18:39:03 | INFO | M06 | Dataset:  penguins
2026-08-02 18:39:03 | INFO | M06 | Target:   species
2026-08-02 18:39:03 | INFO | M06 | Features: ['bill_length_mm', 'bill_depth_mm', 'flipper_length_mm', 'body_mass_g']
2026-08-02 18:39:03 | INFO | M06 | Artifact: artifacts\model.joblib
2026-08-02 18:39:03 | INFO | M06 | ========================
2026-08-02 18:39:20 | INFO | M06 | === RUN START ===
2026-08-02 18:39:20 | INFO | M06 | project=M06
2026-08-02 18:39:20 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:39:20 | INFO | M06 | python=3.14.3
2026-08-02 18:39:20 | INFO | M06 | os=Windows 11
2026-08-02 18:39:20 | INFO | M06 | shell=powershell
2026-08-02 18:39:20 | INFO | M06 | cwd=notebooks
2026-08-02 18:39:20 | INFO | M06 | github_actions=False
2026-08-02 18:39:20 | INFO | M06 | === RUN START ===
2026-08-02 18:39:20 | INFO | M06 | project=M06
2026-08-02 18:39:20 | INFO | M06 | repo_dir=ml-06-serving
2026-08-02 18:39:20 | INFO | M06 | python=3.14.3
2026-08-02 18:39:20 | INFO | M06 | os=Windows 11
2026-08-02 18:39:20 | INFO | M06 | shell=powershell
2026-08-02 18:39:20 | INFO | M06 | cwd=notebooks
2026-08-02 18:39:20 | INFO | M06 | github_actions=False
2026-08-02 18:39:20 | INFO | M06 | Confirming installation:
2026-08-02 18:39:20 | INFO | M06 |   python:       3.14.3
2026-08-02 18:39:20 | INFO | M06 |   pandas:       3.0.5
2026-08-02 18:39:20 | INFO | M06 | Model artifact will be saved to: artifacts\model.joblib
2026-08-02 18:39:20 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:39:20 | INFO | M06 | Loading dataset: penguins
2026-08-02 18:39:20 | INFO | M06 | Loaded: 344 rows, 7 columns
2026-08-02 18:39:20 | INFO | M06 | Model rows (after dropping missing): 342
2026-08-02 18:39:20 | INFO | M06 | Model rows: 342
2026-08-02 18:39:20 | INFO | M06 | Classes in 'species': ['Adelie', 'Chinstrap', 'Gentoo']
2026-08-02 18:39:20 | INFO | M06 | Train instances: 273
2026-08-02 18:39:20 | INFO | M06 | Test instances:  69
2026-08-02 18:39:20 | INFO | M06 | Train instances: 273
2026-08-02 18:39:20 | INFO | M06 | Test instances:  69
2026-08-02 18:39:20 | INFO | M06 | Training RandomForestClassifier on 273 instances
